Japanese,English,tts_file,chapter
これは私のペンです。,This is my pen.,,2
どの学生が日本人ですか。,Which student is Japanese?,,2
これはだれのかばんですか。,Whose bag is this?,,2
山田さんは学生じゃないです。,Mr. Yamada is not a student.,,2
"A(M): 日本人ですか。￥B(F):いいえ、日本人じゃないです。","A(M): Are you Japanese?;;B(F): No, I'm not.",,2
りいさんのせんこおは文学ですね。,"Rii's major is literature, isn't it?",,2
これは肉じゃないですね。,"This is not meat, is it?",,2
たけしさhはあそこです。,Takeshi is over there.,,2
これはだれの帽子ですか。,Whose hat is this?,,2
あれはだれのかさですか。,Whose umbrella is that?,,2
田中さん日本人です。よひださんも日本人です。,Mr. Tanaka is Japanese. Mr. Yohida is also Japanese.,,2
このかさはにせんえんです。そのかさもにせん円です。,This umbrella is 2000 yen. That umbrella is also 2000 yen.,,2
"A(M):たけしさんのせんこおは経済ですか。￥B(F):いいえ、経済じゃないです。","A(M): Is Takeshi's major economics?;;B(F): No, it's not.",,2
