Japanese,English,tts_file,chapter
十,ten,,number
948,948,,number
485,485,,number
745,745,,number
235,235,,number
360,360,,number
810,810,,number
288,288,,number
211,211,,number
36,36,,number
505,505,,number
2082,2082,,number
2004,2004,,number
8707,8707,,number
5648,5648,,number
4951,4951,,number
8197,8197,,number
6572,6572,,number
1988,1988,,number
7370,7370,,number
3179,3179,,number
33459,33459,,number
80696,80696,,number
88395,88395,,number
31199,31199,,number
70140,70140,,number
89225,89225,,number
83551,83551,,number
65561,65561,,number
28197,28197,,number
43008,43008,,number
