Japanese,English,tts_file,chapter
午後3時半,3:30 p.m.,,time
午前3時19分。,3:19 a.m.,,time
午前6時,6 a.m.,,time
午前1時15分,1:15 a.m.,,time
午前9時2分,9:2 a.m.,,time
午後5時10分,5:10 p.m.,,time
午前7時,7 a.m.,,time
午前11時56分。,11:56 a.m.,,time
午後11時54分,11:54 p.m.,,time
午前10時50分,10:50 a.m.,,time
午前8時58分,8:58 a.m.,,time
午後5時半,5:30 p.m.,,time
午後1時26分,1:26 p.m.,,time
午後8時27分,8:27 p.m.,,time
午前6時,6 a.m.,,time
午前9時27分。,9:27 a.m.,,time
午前1時29分。,1:29 a.m.,,time
午後10時36分,10:36 p.m.,,time
午後6時51分,6:51 p.m.,,time
午前11時18分。,11:18 a.m.,,time
午後3時14分,3:14 p.m.,,time
午前3時20分,3:20 a.m.,,time
午後4時47分,4:47 p.m.,,time
午後11時58分,11:58 p.m.,,time
午後8時,8 p.m.,,time
午前8時1分,8:1 a.m.,,time
午後8時40分,8:40 p.m.,,time
午後3時57分,3:57 p.m.,,time
午前5時半,5:30 a.m.,,time
午前1時32分。,1:32 a.m.,,time
午前9時半,9:30 a.m.,,time
午前5時5分,5:5 a.m.,,time
午前6時14分。,6:14 a.m.,,time
午後6時58分,6:58 p.m.,,time
午後10時,10 p.m.,,time
午前7時24分。,7:24 a.m.,,time
午前4時33分。,4:33 a.m.,,time
